uniprot_id,hgnc_symbol,canonical_smiles,concentration_100,concentration_500,concentration_1000,concentration_5000,concentration_10000,concentration_50000,concentration_100000,concentration_1000000,activity_value
O75582,RPS6KA5,Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,,,50.0,,,,,,8.096910013008056
P09619,PDGFRB,Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,,,,,62.8,,,,6.958607314841775
P17252,PRKCA,Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,,,50.0,,,,,49.16275862068966,7.4800408192479315
P23443,RPS6KB1,Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,,,50.0,,,,,,7.8198741248359465
P35968,KDR,Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,,,,,74.4,,,,6.431798275933005
P49841,GSK3B,Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,,,50.0,,,,,58.25,8.301029995663981
P51812,RPS6KA3,Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,,,98.0,,,,,,6.759709106585415
Q02156,PRKCE,Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,,,,,47.0,,,,7.619788758288394
Q04759,PRKCQ,Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,,,,,47.0,,,,9.035290537142853
Q15349,RPS6KA2,Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,,,,,98.21,,,,8.0
Q5S007,LRRK2,Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,,,,,,,,84.3,5.64478636432305
P00533,EGFR,CN(C)CCCn1cc(C2=C(c3cn(C)c4ccccc34)C(=O)NC2=O)c2ccccc21,,,,,,,,0.0,4.0
P05771,PRKCB,CN(C)CCCn1cc(C2=C(c3cn(C)c4ccccc34)C(=O)NC2=O)c2ccccc21,,,,,,,,51.75,7.75713928675921
P17252,PRKCA,CN(C)CCCn1cc(C2=C(c3cn(C)c4ccccc34)C(=O)NC2=O)c2ccccc21,,,,,,,,46.74285714285715,7.372363747448347
P17612,PRKACA,CN(C)CCCn1cc(C2=C(c3cn(C)c4ccccc34)C(=O)NC2=O)c2ccccc21,,,,,,,,1.0,5.0774509799928715
P49841,GSK3B,CN(C)CCCn1cc(C2=C(c3cn(C)c4ccccc34)C(=O)NC2=O)c2ccccc21,,,,,,,,46.0,6.719991046891814
Q02156,PRKCE,CN(C)CCCn1cc(C2=C(c3cn(C)c4ccccc34)C(=O)NC2=O)c2ccccc21,,,,,,,,57.714285714285715,6.455471560120108
Q05513,PRKCZ,CN(C)CCCn1cc(C2=C(c3cn(C)c4ccccc34)C(=O)NC2=O)c2ccccc21,,,,,,,,82.625,4.937422085209735
Q05655,PRKCD,CN(C)CCCn1cc(C2=C(c3cn(C)c4ccccc34)C(=O)NC2=O)c2ccccc21,,,,,,,,64.25,6.6777807052660805
