,100nM,1000nM,pred
7,21.0,0.0,6.835069131583315
9,25.0,4.0,6.935668550634525
161,1.69,3.45,5.21790484388205
162,6.67,8.16,5.276953844167752
163,3.23,3.51,5.219029726684865
164,3.06,0.0,5.351665420923016
165,0.45,2.32,5.216016974985602
166,0.69,0.0,5.250445930083812
167,0.55,2.2,5.216016974985602
168,1.49,2.52,5.21206022250751
169,4.41,0.0,5.339772738391789
170,1.27,0.0,5.252801119292739
171,5.54,5.37,5.223386633135093
172,8.97,8.14,5.276953844167752
173,5.25,6.79,5.264961224565178
174,1.57,2.08,5.210638915756541
175,0.0,3.42,5.230137988528248
176,2.58,5.25,5.225787876549393
177,2.84,6.59,5.240439176332421
178,0.0,0.94,5.222895334068871
179,0.9814285714285713,4.2457142857142856,5.222138261625307
180,1.062,0.8325,5.2220916741114305
181,0.0,0.0,5.261723714552761
182,1.28,0.0,5.241395617314644
183,1.9,2.69,5.214728361807484
184,0.0,2.8,5.226625291870876
185,2.745,4.805,5.2214309700991635
186,4.57,3.26,5.223116764180956
187,0.66,3.01,5.2178899897545294
188,1.85,2.79,5.214728361807484
189,0.17,1.42,5.210332288233469
190,0.9,0.0,5.235389644062781
191,4.57,1.74,5.222116783856332
192,1.3,3.94,5.213817806385961
193,1.3599999999999999,1.5899999999999999,5.209686085141553
194,2.27,2.473333333333333,5.214567240486822
195,9.41,8.89,5.296502964049863
196,2.27,0.0,5.344519384636579
197,2.86,0.81,5.277714738995323
198,4.52,4.91,5.219029726684865
199,3.66,4.62,5.219029726684865
200,0.0,0.17,5.368123499058221
201,2.276666666666667,1.5700000000000003,5.220280831141662
202,0.37,0.72,5.215633016753174
203,0.69,2.51,5.213015582684758
204,2.02,2.7,5.2168991652039916
205,0.0,2.73,5.894837908374255
206,0.08,1.11,5.216137516676688
207,2.3099999999999996,3.02,5.219441647556594
208,1.19,0.01,5.229857120611556
209,3.0875,3.4175,5.223116764180956
210,2.91,1.9,5.23561072130627
211,0.9,1.8,5.214695990994724
212,1.49,5.08,5.215642913915892
213,1.18,0.86,5.2220916741114305
214,0.0,1.92,5.3750677997787575
215,0.0,1.32,5.511045371796804
216,4.46,1.25,5.230972616656517
217,1.12,0.67,5.2220916741114305
218,0.0,4.78,5.829402730820612
219,1.35,1.85,5.209686085141553
220,1.995,0.0,5.344519384636579
221,0.29,2.21,5.216016974985602
222,2.01,4.15,5.218615080721165
223,0.0,0.62,5.262697611234605
224,0.0,0.0,5.785238940954993
225,0.0,1.96,5.218608680401574
226,1.03,3.77,5.224233216222309
227,0.09,0.36,5.222012814040616
228,0.0,0.0,5.5212393893659
229,0.0,0.0,5.647029556497599
230,0.15,0.19,5.217436401681577
231,0.67,0.83,5.212631624452331
232,4.41,0.07,5.291719710013948
233,13.3,15.8,5.863494372692789
234,3.58,11.73,5.675947141229154
235,1.13,2.1950000000000003,5.222475632343859
236,1.01,1.76,5.216790945591726
237,2.19,3.9,5.218615080721165
238,5.05,7.23,5.4819698886481945
239,1.69,0.69,5.231126477391329
240,1.77,1.77,5.217773813162349
241,0.69,4.67,5.214773166563209
242,0.91,0.2,5.221800104442832
243,3.19,2.38,5.214981886450523
244,4.17,1.94,5.222116783856332
245,0.0,2.09,5.50277376183595
246,1.36,1.96,5.209686085141553
247,22.22,60.14,6.973040888722039
248,1.38,1.27,5.223414653333832
249,0.44,0.0,5.253447322384655
250,3.62,1.02,5.27019418974076
251,1.93,5.52,5.220801183774886
252,2.03,6.89,5.309664963270357
253,0.54,3.25,5.221861596360144
254,4.41,5.78,5.227374827787338
255,0.0,1.0,5.500749278364702
256,0.87,3.61,5.214773166563209
257,2.03,3.36,5.2227021182172555
258,0.0,0.0,5.231674855421404
259,1.59,1.37,5.210220418072307
260,1.93,1.91,5.218110027745154
261,1.78,1.88,5.217773813162349
262,3.38,3.64,5.219029726684865
263,4.03,0.0,5.346355337351248
264,0.53,1.11,5.211561104317649
265,4.05,2.75,5.217313811167691
266,2.02,4.54,5.218615080721165
267,0.8,1.12,5.208559712016806
268,1.64,1.81,5.209686085141553
269,0.0,3.55,5.544969512421044
270,0.64,1.86,5.207330895932625
271,1.98,1.68,5.220280831141662
272,0.0,1.12,5.219837496485754
273,1.78,3.83,5.213817806385961
274,0.69,1.59,5.207330895932625
275,0.0,0.0,5.271635660505961
276,0.75,1.8,5.207330895932625
277,0.05,0.93,5.223909408921278
278,0.42,0.24,5.217436401681577
279,2.19,2.78,5.2168991652039916
280,1.83,0.66,5.362370677919829
281,0.85,1.63,5.207330895932625
282,1.01,2.34,5.222475632343859
283,3.44,6.33,5.238037932918122
284,0.0,0.0,5.250318212574664
285,1.29,1.9,5.209686085141553
286,1.67,2.85,5.214392147224679
287,3.64,5.65,5.227374827787338
288,0.76,0.08,5.214435009380733
289,1.63,0.93,5.214986813661258
290,1.52,6.32,5.232826012619217
291,0.9,2.26,5.220380677746857
292,2.47,2.75,5.219715054581991
293,1.33,1.5433333333333332,5.209686085141553
294,5.1,6.96,5.328520750742496
295,2.58,4.77,5.2214309700991635
296,1.92,5.43,5.220801183774886
297,3.67,1.72,5.222116783856332
298,1.95,1.35,5.230039675471648
299,4.98,5.39,5.223386633135093
300,0.27,2.77,5.218348899702772
301,0.0,3.2,5.229167774223479
302,4.21,13.36,5.685398326897546
303,0.61,0.0,5.250445930083812
304,0.0,2.27,5.224293367153707
305,3.55,3.33,5.223116764180956
306,3.66,2.79,5.217313811167691
307,0.99,0.78,5.2199967195144295
308,1.72,3.765,5.213817806385961
309,1.51,0.0,5.236708267882607
310,2.71,1.22,5.243845235851075
311,0.35,1.07,5.211561104317649
312,0.04,0.44,5.225712793849682
313,0.16,0.16,5.217436401681577
314,0.81,0.42,5.214435009380733
315,1.52,4.23,5.213817806385961
316,3.49,6.24,5.227374827787338
317,0.33,2.8,5.218348899702772
318,0.0,0.0,5.245110850088933
319,4.73,0.13,5.291719710013948
320,1.42,2.54,5.21206022250751
321,4.7,3.16,5.219856293520293
322,1.13,3.19,5.227350039413631
323,1.61,1.95,5.209686085141553
324,2.37,3.36,5.235239480358912
325,1.52,2.28,5.21206022250751
326,1.03,2.7,5.224807557061028
327,0.79,0.57,5.212631624452331
328,2.25,1.34,5.232210478868154
329,0.0,0.0,5.867238442837327
330,0.0,0.0,5.29307127347368
331,1.71,3.75,5.213817806385961
332,0.83,0.0,5.2203970709524565
333,1.94,4.47,5.216444277324657
334,0.11,3.1,5.220891382055374
335,0.0,0.0,5.292846735474279
336,0.98,0.0,5.235389644062781
337,2.66,2.94,5.222257536934594
338,1.4,0.0,5.259129648965737
339,1.06,2.79,5.224807557061028
340,4.69,0.0,5.453350156157404
341,0.9,0.56,5.2199967195144295
342,1.87,4.07,5.216444277324657
343,0.0,0.83,5.223909408921278
344,3.16,0.0,5.334949835373151
345,0.34,0.0,5.258757405956424
346,0.0,0.0,5.785238940954993
347,1.0,3.855,5.222138261625307
348,1.28,0.77,5.214986813661258
349,0.99,1.4,5.2152303239254785
350,0.0,0.0,5.527532907095322
351,0.37,0.0,5.258757405956424
352,0.0,0.36,5.264500996163007
353,0.55,0.06,5.217436401681577
354,1.24,5.19,5.218174712836188
355,1.65,4.63,5.213817806385961
356,0.57,4.18,5.217774558864052
357,3.2,4.05,5.219029726684865
358,2.37,3.22,5.231979009698248
359,0.42,2.88,5.218348899702772
360,2.88,1.875,5.223096720519661
361,0.0,2.75,5.8282207821858005
362,7.58,0.0,5.31204127373689
363,4.78,1.19,5.230972616656517
364,3.54,2.65,5.217313811167691
365,0.0,1.86,5.218608680401574
366,0.77,4.51,5.214773166563209
367,11.21,16.13,5.81440355686157
368,3.9,8.14,5.2798724906692955
369,4.42,8.86,5.2798724906692955
370,2.55,3.16,5.222257536934594
371,0.0,7.95,5.640423105491185
372,0.15,1.02,5.214618941900766
373,4.23,10.84,5.675947141229154
374,1.49,0.52,5.214986813661258
375,1.1016666666666666,4.144285714285714,5.224233216222309
376,0.826,5.5280000000000005,5.219130073013438
377,2.08,0.0,5.3498294682083465
378,1.03,0.17,5.223895059039834
379,3.03,0.0,5.323933956268117
380,1.0,4.08,5.222138261625307
381,1.835,9.75,5.275991903576562
382,5.99,6.13,5.224456181285795
383,0.0,0.0,5.785014402955592
384,0.0,0.5,5.798748152210345
385,0.0,0.0,5.738355252137683
386,1.15,0.99,5.221077599259023
387,1.54,1.37,5.210220418072307
388,2.78,5.33,5.225787876549393
389,1.9000000000000001,5.025,5.218269384854589
390,2.4566666666666666,7.396666666666667,5.469554255633371
391,0.0,0.0,5.7494893840008405
392,3.45,0.39,5.303612392545175
393,2.36,4.87,5.23115244286282
394,2.1,8.26,5.278162706973069
395,1.36,5.75,5.222162907488435
396,2.37,2.64,5.229436527345647
397,2.1166666666666667,5.933333333333334,5.226960181823638
398,0.0,0.06,5.385943909237274
399,0.0,0.23,5.753667848321436
400,0.0,0.0,5.785014402955592
401,0.0,9.68,5.884488655411776
402,0.59,0.48,5.214435009380733
403,3.615,4.29,5.219029726684865
404,1.99,3.28,5.2227021182172555
405,2.8775,5.6225,5.228087177079664
406,0.77,1.89,5.207330895932625
407,0.0,0.0,5.785238940954993
408,0.0,13.2,6.203888587214436
409,0.25,1.28,5.210866621164223
410,0.0,0.6,5.522774766985179
411,0.0,0.11,5.867168663327201
412,1.37,1.47,5.209686085141553
413,0.97,2.52,5.220380677746857
414,1.7,10.23,5.360522591853276
415,0.0,7.59,5.917870244433185
416,0.0,0.0,5.529362521518924
417,2.96,2.25,6.1645527091763315
418,1.44,11.89,5.669222202580925
419,2.87,3.3,5.225518007595255
420,0.0,0.0,5.851856067143446
421,0.0,0.35,5.3624414579714434
422,1.66,6.7,5.239132533839506
423,3.49,1.53,5.222116783856332
424,0.0,0.83,5.366320114129816
425,0.0,0.0,5.738355252137683
426,0.0,0.0,5.738355252137683
427,0.0,0.0,5.79032448652736
428,5.74,4.17,5.219029726684865
429,5.2,9.29,5.2798724906692955
430,0.81,1.71,5.207330895932625
431,3.65,5.05,5.220854834214797
432,1.39,1.01,5.21397273880885
433,2.88,4.64,5.2214309700991635
434,0.0,0.0,5.53519808848713
435,0.0,0.44,5.526407766337184
436,0.0,2.07,5.821157001331487
437,1.6,2.05,5.210638915756541
438,5.32,4.18,5.219029726684865
439,0.51,0.0,5.258757405956424
440,0.99,1.49,5.214695990994724
441,2.29,4.26,5.218615080721165
442,2.51,4.21,5.2214309700991635
443,0.4,0.36,5.217436401681577
444,0.14,0.05,5.2233984632533
445,0.0,0.0,5.785014402955592
446,0.0,1.28,5.82942861129234
447,0.0,3.12,5.830763264538403
448,0.0,0.0,5.7926795843473995
449,3.04,6.0,5.227374827787338
450,1.44,0.74,5.214986813661258
451,6.08,14.59,5.762275977994724
452,2.33,2.6,5.2168991652039916
453,0.0,2.02,5.828894278361586
454,2.99,46.47,6.644171975879094
455,0.0,0.0,5.396693776368894
456,3.9,2.27,5.214981886450523
457,3.93,4.29,5.219029726684865
458,1.23,1.23,5.223414653333832
459,0.0,0.0,5.738355252137683
460,6.26,8.11,5.276953844167752
461,5.0,7.55,5.4579333723381565
462,2.23,2.3,5.214567240486822
463,0.0,0.0,5.52541484948643
464,0.0,0.0,5.851856067143446
465,0.0,0.0,5.785238940954993
466,3.75,4.29,5.219029726684865
467,2.27,4.78,5.218615080721165
468,1.55,4.99,5.215642913915892
469,7.82,5.85,5.224456181285795
470,0.0,0.0,5.74679850193343
471,1.94,1.69,5.218110027745154
472,0.57,1.01,5.214618941900766
473,0.0,0.0,5.785238940954993
474,1.02,3.03,5.227350039413631
475,1.44,1.51,5.313783263496608
476,1.09,2.38,5.222475632343859
477,3.33,6.81,5.264961224565178
478,6.15,0.0,5.29768177158567
479,0.0,0.49,5.264500996163007
480,1.69,3.46,5.21790484388205
481,2.62,7.38,5.469554255633371
482,8.73,13.81,5.682479680396001
483,0.74,2.59,5.215347507401928
484,1.78,2.01,5.217773813162349
485,0.0,0.34,5.524578151913583
486,4.76,4.76,5.219029726684865
487,4.15,8.03,5.2798724906692955
488,4.09,1.37,5.234046431582824
489,10.74,4.18,5.260870824812484
490,4.24,7.4,5.475654351356198
